word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
cease;8851;4.32;1.3768;NA;4974;NA;3429
communist;8852;4.32;1.7431;NA;2335;2539;NA
eff;8853;4.32;1.5706;4782;NA;NA;NA
fbi;8854;4.32;1.4061;NA;NA;2944;NA
gop;8855;4.32;1.2196;3357;NA;NA;NA
howling;8856;4.32;1.8344;NA;NA;NA;4575
hunt;8857;4.32;1.9840;3267;4799;3437;3477
reduced;8858;4.32;1.5836;NA;1169;1929;NA
scattered;8859;4.32;1.3468;NA;3575;NA;3937
separate;8860;4.32;1.5576;NA;1110;1814;2767
slowly;8861;4.32;1.4348;1837;1685;3751;896
surgical;8862;4.32;2.0448;NA;3970;NA;NA
tripping;8863;4.32;1.8674;NA;NA;NA;4065
waited;8864;4.32;1.6092;NA;3836;NA;1509
yikes;8865;4.32;1.6343;3654;NA;NA;NA
bias;8866;4.31;1.7278;NA;4838;NA;NA
blunt;8867;4.31;1.5181;NA;NA;NA;2419
shaking;8868;4.31;1.7523;NA;NA;NA;1962
din;8869;4.31;1.3261;NA;NA;NA;3814
smack;8870;4.31;2.0021;NA;NA;NA;2633
affected;8871;4.30;1.3887;NA;1594;2561;NA
brokerage;8872;4.30;1.8323;NA;NA;3845;NA
drop;8873;4.30;1.1995;1067;2409;1906;510
formerly;8874;4.30;1.2495;NA;3038;1190;NA
gore;8875;4.30;1.8654;NA;NA;2768;NA
guards;8876;4.30;1.7173;NA;NA;4440;NA
hadn't;8877;4.30;1.2164;NA;NA;NA;NA
ich;8878;4.30;1.5811;945;NA;NA;365
iran;8879;4.30;1.6320;3389;NA;1919;NA
legislation;8880;4.30;1.5551;NA;2227;1421;NA
monday;8881;4.30;1.8871;595;NA;256;2060
muslims;8882;4.30;1.3887;NA;NA;4578;NA
naw;8883;4.30;1.1650;2485;NA;NA;2753
pit;8884;4.30;1.0152;4076;NA;NA;3484
sneak;8885;4.30;1.5419;4061;NA;NA;3954
so-called;8886;4.30;1.2657;NA;NA;NA;NA
sudden;8887;4.30;1.3132;3941;2461;4113;3036
sue;8888;4.30;2.1595;NA;NA;3375;3620
tick;8889;4.30;1.7053;NA;NA;NA;2727
rowdy;8890;4.29;2.0417;NA;NA;NA;4554
slippin;8891;4.29;1.7130;NA;NA;NA;4978
chased;8892;4.29;1.6330;NA;NA;NA;4493
divide;8893;4.29;1.4577;NA;4524;NA;3573
leavin;8894;4.29;1.4434;NA;NA;NA;3104
mortal;8895;4.29;2.0310;NA;NA;NA;3507
rebellion;8896;4.29;1.6833;NA;4461;NA;NA
aged;8897;4.28;1.8521;NA;3403;NA;NA
aids;8898;4.28;2.3477;2983;3996;1197;NA
bieber;8899;4.28;1.0110;1056;NA;NA;NA
fooling;8900;4.28;1.5124;NA;NA;NA;3467
guerrillas;8901;4.28;2.0004;NA;NA;4855;NA
idk;8902;4.28;1.7028;1039;NA;NA;NA
il;8903;4.28;1.2784;2267;2660;4965;760
jury;8904;4.28;1.3407;NA;4048;1455;NA
nor;8905;4.28;1.1959;3367;386;1588;2402
petroleum;8906;4.28;1.6293;NA;NA;3646;NA
pimpin;8907;4.28;2.1575;NA;NA;NA;3313
rules;8908;4.28;1.2296;1727;927;962;1019
spider;8909;4.28;2.0004;3667;NA;NA;4891
swore;8910;4.28;1.5784;NA;NA;NA;2904
taken;8911;4.28;1.4714;1184;265;595;920
tests;8912;4.28;1.6787;3634;1549;2057;NA
wasn't;8913;4.28;1.1436;NA;NA;NA;NA
moan;8914;4.27;2.2288;NA;NA;NA;3394
warn;8915;4.27;1.7173;NA;NA;NA;3736
@justinbieber;8916;4.26;1.7001;NA;NA;NA;NA
blows;8917;4.26;1.7591;4427;NA;NA;1483
defendants;8918;4.26;1.4820;NA;NA;3426;NA
fck;8919;4.26;1.7821;4635;NA;NA;NA
fires;8920;4.26;1.7357;NA;NA;NA;2955
intervention;8921;4.26;1.4820;NA;2697;NA;NA
lawyers;8922;4.26;1.8715;NA;NA;960;NA
non;8923;4.26;1.2747;2577;503;NA;662
outlaw;8924;4.26;1.7001;NA;NA;NA;3906
owing;8925;4.26;1.9463;NA;3176;NA;NA
sht;8926;4.26;1.2257;4783;NA;NA;NA
split;8927;4.26;1.4957;4088;3717;1581;1722
storm;8928;4.26;2.0082;886;3330;2897;916
concerning;8929;4.24;1.6898;NA;1322;NA;NA
contrary;8930;4.24;1.5211;NA;1751;NA;NA
4am;8931;4.24;1.5460;NA;NA;NA;NA
bah;8932;4.24;1.1877;4361;NA;NA;3410
barely;8933;4.24;1.5722;2694;NA;2166;1932
but;8934;4.24;1.1528;26;27;27;22
courts;8935;4.24;1.4647;NA;1819;2040;NA
kanye;8936;4.24;1.6850;1877;NA;NA;NA
lower;8937;4.24;1.0797;2668;513;792;3872
minority;8938;4.24;1.5460;NA;3126;2216;NA
orders;8939;4.24;1.4786;3402;1499;1803;NA
pounding;8940;4.24;2.0260;NA;NA;NA;3651
protests;8941;4.24;1.6358;NA;NA;4027;NA
psychiatric;8942;4.24;1.3334;NA;NA;NA;NA
questioned;8943;4.24;1.2707;NA;NA;3830;NA
raw;8944;4.24;1.2867;2567;3125;NA;1638
rebels;8945;4.24;1.5059;NA;NA;3368;NA
sag;8946;4.24;1.3180;NA;NA;NA;4476
shoulda;8947;4.24;1.1704;4788;NA;NA;2150
smash;8948;4.24;1.5722;4924;NA;NA;2496
spy;8949;4.24;1.7677;NA;NA;NA;4529
stern;8950;4.24;1.3637;NA;NA;2629;NA
stray;8951;4.24;1.8245;NA;NA;NA;3349
swear;8952;4.24;1.6233;1231;NA;NA;813
unless;8953;4.24;1.0012;1418;1035;1805;1684
worn;8954;4.23;1.0962;NA;3859;NA;2728
dues;8955;4.22;1.3581;NA;NA;NA;3238
freaks;8956;4.22;2.0028;NA;NA;NA;2660
#iranelection;8957;4.22;1.3746;NA;NA;NA;NA
away;8958;4.22;1.2664;292;272;354;73
backwards;8959;4.22;1.3746;NA;NA;NA;2930
beware;8960;4.22;1.6695;NA;NA;NA;2466
blast;8961;4.22;2.1217;1896;NA;NA;1389
breakin;8962;4.22;1.4748;NA;NA;NA;3475
bush's;8963;4.22;1.5158;NA;NA;NA;NA
calories;8964;4.22;1.6817;4937;NA;NA;NA
cold;8965;4.22;1.7761;213;984;1764;278
concerned;8966;4.22;1.6573;4280;959;1556;3706
due;8967;4.22;1.5022;919;449;1213;2390
grind;8968;4.22;1.3746;3506;NA;NA;1640
iranian;8969;4.22;1.1480;NA;NA;4228;NA
labor;8970;4.22;1.6199;4682;725;957;NA
limit;8971;4.22;1.3138;3039;1932;2288;1822
limited;8972;4.22;1.1657;2346;844;1610;NA
loan;8973;4.22;1.4039;3069;3466;1602;NA
mutha;8974;4.22;1.5292;NA;NA;NA;3168
python;8975;4.22;1.7990;3897;NA;NA;NA
republicans;8976;4.22;1.9722;4868;NA;1037;NA
scratch;8977;4.22;1.3746;3937;NA;NA;2254
veto;8978;4.22;1.4039;NA;NA;4266;NA
waitin;8979;4.22;1.3445;3775;NA;NA;2822
wtf;8980;4.22;1.7761;606;NA;NA;NA
waar;8981;4.21;1.2876;NA;NA;NA;2561
beat;8982;4.20;1.9795;690;3420;1125;377
blah;8983;4.20;1.6288;2038;NA;NA;3506
darn;8984;4.20;1.5119;2922;NA;NA;NA
default;8985;4.20;1.4708;4581;NA;NA;NA
dnt;8986;4.20;1.3401;880;NA;NA;NA
expenditure;8987;4.20;1.5908;NA;3444;NA;NA
exposed;8988;4.20;1.4428;NA;2365;4836;NA
grrr;8989;4.20;1.4708;3963;NA;NA;NA
legislators;8990;4.20;1.8844;NA;NA;3606;NA
levy;8991;4.20;1.3851;NA;NA;3175;NA
lone;8992;4.20;1.5649;NA;NA;NA;4809
mccain;8993;4.20;1.7843;2001;NA;NA;NA
periods;8994;4.20;1.6537;NA;2092;1848;NA
politically;8995;4.20;1.3702;NA;NA;3739;NA
pow;8996;4.20;1.3553;NA;NA;NA;NA
prosecutors;8997;4.20;1.5908;NA;NA;1698;NA
screw;8998;4.20;1.8516;2967;NA;NA;3224
uh;8999;4.20;1.3851;1798;NA;NA;301
verdict;9000;4.20;1.6537;NA;NA;4631;NA
weird;9001;4.20;1.3553;684;NA;NA;3597
whips;9002;4.20;1.9060;NA;NA;NA;4299
underlying;9003;4.19;1.3128;NA;3055;NA;NA
objection;9004;4.18;1.4673;NA;4490;NA;NA
arsenal;9005;4.18;1.8371;4489;NA;NA;NA
boss;9006;4.18;1.5868;1475;NA;4172;1582
capture;9007;4.18;1.6986;NA;3849;4826;4873
chemical;9008;4.18;1.3952;NA;1553;1997;4584
dis;9009;4.18;1.3506;1019;NA;NA;1652
ex;9010;4.18;1.3045;2016;2663;NA;4784
exam;9011;4.18;1.5609;2182;NA;NA;NA
explode;9012;4.18;1.9763;NA;NA;NA;2618
forces;9013;4.18;1.5868;4712;735;1058;3701
grr;9014;4.18;1.6374;4488;NA;NA;NA
porn;9015;4.18;2.4302;1801;NA;NA;NA
prey;9016;4.18;1.9968;NA;NA;NA;3485
reduce;9017;4.18;1.2567;4588;1873;1506;NA
smells;9018;4.18;1.5868;1931;NA;NA;4163
unpublished;9019;4.18;1.3045;NA;NA;NA;NA
warcraft;9020;4.18;1.7106;3595;NA;NA;NA
implications;9021;4.17;1.2392;NA;2806;NA;NA
uptight;9022;4.17;1.9278;NA;NA;NA;4706
acute;9023;4.16;1.7719;NA;2147;NA;NA
blades;9024;4.16;1.6751;NA;NA;NA;4980
astray;9025;4.16;1.4337;NA;NA;NA;3226
bash;9026;4.16;1.9416;4595;NA;NA;NA
chop;9027;4.16;1.4479;NA;NA;NA;2498
clinic;9028;4.16;1.6458;NA;NA;2150;NA
froze;9029;4.16;1.4194;NA;NA;NA;4750
gambling;9030;4.16;1.9935;NA;NA;4817;NA
heat;9031;4.16;1.8223;1762;998;2186;727
nowhere;9032;4.16;1.2675;3675;NA;NA;726
palin;9033;4.16;2.1510;1866;NA;NA;NA
sigh;9034;4.16;1.8223;1253;NA;NA;2202
stranger;9035;4.16;0.9553;4728;4422;NA;1175
strangers;9036;4.16;1.7538;NA;NA;NA;2012
sucking;9037;4.16;1.7304;NA;NA;NA;4017
sweat;9038;4.16;1.3903;4138;NA;NA;1106
vice;9039;4.16;1.6946;NA;2445;322;NA
crowd;9040;4.14;1.5388;2498;2932;2138;864
demand;9041;4.14;1.4144;3142;994;1546;3593
drag;9042;4.14;1.4287;3529;NA;NA;1484
fuck;9043;4.14;2.5794;322;NA;NA;185
havent;9044;4.14;1.3554;1925;NA;NA;NA
minimum;9045;4.14;1.2779;NA;1969;2015;NA
pee;9046;4.14;1.5254;3569;NA;NA;NA
pirates;9047;4.14;2.1190;4443;NA;NA;NA
pushing;9048;4.14;1.3250;4045;NA;4016;2047
shark;9049;4.14;1.9167;3835;NA;NA;NA
ripped;9050;4.13;1.8050;NA;NA;NA;2959
strict;9051;4.13;1.7646;NA;3906;NA;NA
decrease;9052;4.12;1.5523;NA;2840;NA;NA
drain;9053;4.12;1.2820;NA;NA;NA;3186
messing;9054;4.12;1.6283;NA;NA;NA;4296
renal;9055;4.12;1.3171;NA;3691;NA;NA
5am;9056;4.12;1.9021;NA;NA;NA;NA
aren't;9057;4.12;1.2879;NA;NA;NA;NA
attorney;9058;4.12;1.3037;NA;3901;901;NA
bother;9059;4.12;1.6243;3404;NA;NA;1795
fuss;9060;4.12;1.7802;NA;NA;NA;3479
hittin;9061;4.12;1.6860;NA;NA;NA;3163
negro;9062;4.12;1.6616;NA;2743;NA;NA
nonsense;9063;4.12;1.5990;3862;NA;NA;NA
nope;9064;4.12;1.3797;1886;NA;NA;NA
political;9065;4.12;1.5205;2407;219;258;NA
reductions;9066;4.12;1.6980;NA;NA;NA;NA
rush;9067;4.12;1.3649;2161;NA;3636;1310
shallow;9068;4.12;1.5732;NA;NA;NA;3438
taxpayers;9069;4.12;1.5205;NA;NA;4408;NA
twisted;9070;4.12;1.6738;NA;NA;NA;1594
blunts;9071;4.11;1.2551;NA;NA;NA;3905
abyss;9072;4.10;1.7108;NA;NA;NA;4995
lesser;9073;4.10;1.2949;NA;4506;NA;NA
liability;9074;4.10;1.6863;NA;4101;NA;NA
murda;9075;4.10;1.6863;NA;NA;NA;3869
conviction;9076;4.10;1.9404;NA;3469;3577;NA
cost;9077;4.10;1.4033;1636;573;632;1729
demanded;9078;4.10;1.5682;NA;3044;4974;NA
enforcement;9079;4.10;1.4178;NA;NA;2357;NA
erase;9080;4.10;1.4743;NA;NA;NA;2281
freaking;9081;4.10;1.8434;1567;NA;NA;NA
hard;9082;4.10;1.3887;169;629;622;181
heavy;9083;4.10;1.4178;1513;1138;1970;1038
hunting;9084;4.10;2.0127;3490;3890;NA;4562
laundry;9085;4.10;1.6568;1923;NA;NA;NA
less;9086;4.10;1.2495;587;180;366;892
numb;9087;4.10;1.6320;NA;NA;NA;2206
pills;9088;4.10;1.6067;4401;NA;NA;2598
pushed;9089;4.10;1.4743;NA;3606;3597;2337
rid;9090;4.10;1.4178;2454;NA;NA;2886
sacrifice;9091;4.10;2.1309;NA;2863;NA;1825
takeover;9092;4.10;1.6320;NA;NA;3571;NA
wack;9093;4.10;1.1112;3762;NA;NA;2313
ego;9094;4.08;1.5524;NA;4892;NA;3274
rumors;9095;4.08;1.9455;NA;NA;NA;4514
servant;9096;4.08;1.3668;NA;3190;NA;NA
weary;9097;4.08;1.6181;NA;NA;NA;2213
conservatives;9098;4.08;1.9984;NA;NA;4995;NA
crumble;9099;4.08;1.7243;NA;NA;NA;3722
cutting;9100;4.08;1.3974;3137;3053;2811;3473
fallin;9101;4.08;1.6517;NA;NA;NA;3130
freeze;9102;4.08;1.8609;4438;NA;NA;2161
hung;9103;4.08;1.6268;4030;3572;NA;1860
knife;9104;4.08;1.3974;3182;4782;NA;1344
plea;9105;4.08;1.2262;NA;NA;4652;4211
stopping;9106;4.08;1.3974;4826;NA;NA;3233
surrender;9107;4.08;1.6762;NA;4565;NA;1546
temper;9108;4.08;1.7939;NA;4998;NA;NA
wont;9109;4.08;1.0467;1127;NA;NA;1008
cardiac;9110;4.06;1.7249;NA;4163;NA;NA
fading;9111;4.06;1.2650;NA;NA;NA;1547
blinding;9112;4.06;1.6710;NA;NA;NA;4487
concerns;9113;4.06;1.5572;NA;2345;1708;NA
flushing;9114;4.06;1.4902;NA;NA;3170;NA
haiti;9115;4.06;2.2077;775;NA;4838;NA
kurupt;9116;4.06;1.5308;NA;NA;NA;4913
mondays;9117;4.06;1.7775;4531;NA;4518;NA
prosecutor;9118;4.06;1.6587;NA;NA;2649;NA
sour;9119;4.06;1.5039;2955;NA;NA;3974
test;9120;4.06;1.4057;788;615;1141;1204
toll;9121;4.06;1.0956;4335;NA;4854;3321
unfollow;9122;4.06;1.0577;3498;NA;NA;NA
collide;9123;4.04;1.7130;NA;NA;NA;3619
fade;9124;4.04;1.3064;NA;NA;NA;560
needles;9125;4.04;1.9891;NA;NA;NA;4774
chemicals;9126;4.04;1.6777;NA;NA;4539;NA
colder;9127;4.04;1.9583;NA;NA;NA;2962
concern;9128;4.04;1.6157;NA;1458;1079;4228
discharge;9129;4.04;1.7838;NA;3000;NA;NA
dominated;9130;4.04;1.5248;NA;4329;4911;NA
fall;9131;4.04;1.9687;389;790;791;200
hollow;9132;4.04;1.4422;NA;NA;NA;1886
hospice;9133;4.04;1.8401;NA;NA;3321;NA
hunter;9134;4.04;1.7608;NA;NA;2996;4374
imposed;9135;4.04;1.1773;NA;3080;3878;NA
reduction;9136;4.04;1.2930;NA;1813;2753;NA
shootin;9137;4.04;2.1942;NA;NA;NA;4792
spittin;9138;4.04;2.0098;NA;NA;NA;4143
unknown;9139;4.04;1.5113;3737;1952;4738;1890
unlike;9140;4.04;1.4136;NA;2501;2951;NA
welt;9141;4.04;1.6283;NA;NA;NA;3152
worm;9142;4.04;1.6655;NA;NA;NA;4768
rust;9143;4.02;1.6307;NA;NA;NA;4022
distant;9144;4.02;1.5342;NA;2582;NA;1899
affair;9145;4.02;1.8349;NA;3686;3896;2655
aint;9146;4.02;1.4356;550;NA;NA;533
block;9147;4.02;1.4213;1694;2020;1696;707
consequences;9148;4.02;1.3169;NA;1903;4173;NA
dropping;9149;4.02;1.0971;3798;NA;NA;3982
ending;9150;4.02;1.4213;2021;4083;2183;1586
goodbyes;9151;4.02;1.9005;NA;NA;NA;4702
hasn't;9152;4.02;1.1865;NA;NA;NA;NA
imprecisely;9153;4.02;1.5050;NA;NA;2989;NA
incident;9154;4.02;1.3923;NA;3017;2272;NA
investigation;9155;4.02;1.4776;NA;2131;882;NA
off;9156;4.02;1.3013;91;216;200;134
strife;9157;4.02;1.8349;NA;NA;NA;4594
strikes;9158;4.02;1.3626;NA;NA;4453;3200
weren't;9159;4.02;1.1516;NA;NA;NA;NA
ain't;9160;4.00;1.2778;NA;NA;NA;NA
alleged;9161;4.00;1.7496;NA;4557;NA;NA
arafat;9162;4.00;1.5518;NA;NA;4433;NA
bum;9163;4.00;1.7261;4276;NA;NA;2607
ceased;9164;4.00;1.4428;NA;4075;NA;NA
cracks;9165;4.00;1.3553;NA;NA;NA;3084
creeping;9166;4.00;1.4577;NA;NA;NA;3365
defensive;9167;4.00;1.5253;NA;NA;2211;NA
didn't;9168;4.00;1.2936;NA;NA;NA;NA
didnt;9169;4.00;1.2454;762;NA;NA;2898
downs;9170;4.00;1.7143;NA;NA;NA;4334
force;9171;4.00;1.6903;1751;404;586;1302
least;9172;4.00;1.0690;435;313;404;1073
limits;9173;4.00;1.1952;NA;1859;2557;NA
racial;9174;4.00;1.7261;NA;3272;2895;NA
ridiculous;9175;4.00;1.7957;2273;NA;NA;NA
rip;9176;4.00;1.5518;1520;NA;NA;1288
roughly;9177;4.00;1.2122;NA;4661;4025;NA
twit;9178;4.00;1.7613;2892;NA;NA;NA
zombies;9179;4.00;2.3733;4708;NA;NA;NA
accidentally;9180;3.98;1.2370;4580;NA;NA;NA
avoided;9181;3.98;1.5185;NA;3874;NA;NA
bite;9182;3.98;1.7201;2625;NA;NA;1318
breaking;9183;3.98;1.4913;1279;3334;3580;851
demands;9184;3.98;1.3169;NA;1864;3130;NA
diagnosis;9185;3.98;1.8897;NA;2200;NA;NA
fled;9186;3.98;1.1692;NA;NA;4623;NA
hardly;9187;3.98;1.2534;3583;1423;3057;1865
humidity;9188;3.98;1.6962;1928;NA;NA;NA
isnt;9189;3.98;1.2696;1911;NA;NA;NA
old;9190;3.98;1.7553;212;152;279;188
punks;9191;3.98;1.9742;NA;NA;NA;3839
terminal;9192;3.98;2.0353;NA;3878;4355;NA
ruins;9193;3.98;1.7617;NA;NA;NA;4822
cracked;9194;3.98;1.9295;NA;NA;NA;3403
slam;9195;3.98;1.6351;NA;NA;NA;2716
argh;9196;3.96;1.4280;3185;NA;NA;NA
bang;9197;3.96;1.4841;2086;NA;NA;793
bye;9198;3.96;1.4978;1233;NA;NA;885
closing;9199;3.96;1.0872;2661;4275;1799;2292
dagger;9200;3.96;1.3242;NA;NA;4460;NA
expense;9201;3.96;1.2447;NA;2672;3198;NA
fists;9202;3.96;1.6532;NA;NA;NA;4101
iraqi;9203;3.96;1.3991;NA;NA;2113;NA
loose;9204;3.96;1.6532;2766;3423;NA;930
minus;9205;3.96;1.4978;4636;NA;NA;NA
slugs;9206;3.96;1.6408;NA;NA;NA;3517
strike;9207;3.96;1.3547;3697;2521;1641;1912
tough;9208;3.96;1.4136;1515;NA;1801;1176
trial;9209;3.96;1.6898;2591;1559;832;4278
unclear;9210;3.96;1.4280;NA;NA;4018;NA
killa;9211;3.96;1.9045;NA;NA;NA;2130
skull;9212;3.96;1.6325;NA;NA;NA;3645
charges;9213;3.94;1.5308;4033;2765;590;NA
darker;9214;3.94;1.8996;NA;NA;NA;4023
erroneously;9215;3.94;1.5174;NA;NA;4952;NA
mess;9216;3.94;1.5703;1482;NA;NA;893
pakistan;9217;3.94;1.1502;4106;4845;3427;NA
reluctant;9218;3.94;1.3763;NA;NA;NA;NA
slumdog;9219;3.94;1.7775;4240;NA;NA;NA
strapped;9220;3.94;1.5440;NA;NA;NA;2722
dizzy;9221;3.94;1.7249;NA;NA;NA;3346
executed;9222;3.94;2.2023;NA;3895;NA;NA
honky;9223;3.94;2.0567;NA;NA;NA;4056
homework;9224;3.92;1.8165;1168;NA;NA;NA
nixon;9225;3.92;1.7361;NA;NA;4250;NA
omitted;9226;3.92;1.2095;NA;NA;1802;NA
stained;9227;3.92;1.8277;NA;NA;NA;3958
ughh;9228;3.92;1.3068;4089;NA;NA;NA
